Command, Label
Çizgi formasyonunu yap,Cizgi
V çiz,V
Ok başı yapıver,Ok başı
Üçgen olun,Üçgen
Çizgi çiz,Cizgi
V formasyonu oluştur,V
Ok başı şeklini çiziver ,Ok başı
Üçgen haline gelin,Üçgen
Çizgi oluştur,Cizgi
V şekli yap,V
Ok başı şekline bürün,Ok başı
Üç köşeli şekil oluşturun,Üçgen
Çizgi yapıver,Cizgi
V şeklini çiziver,V
Ok başı ol acele,Ok başı
Üçgen oluşturcak hizaya gelin,Üçgen
Oynayın voleybol,voleybol
Top oyna ,voleybol
Voleybolcu olun,voleybol
Voleybol formasyonunu gerçekleştirmeniz gerekiyor,voleybol
Voleybol oynamanızı istirham ediyorum,voleybol
çizgi formasyonu oluştur,Cizgi
V çiz,V
ters v formasyonu yap,Ok başı
üç köşeli bir şekil oluştur,Üçgen
çizgi formasyonu,Cizgi
sürü V formasyonu oluştursun,V
ok başı formasyonu yapılsın,Ok başı
sürü üçgen formasyonu oluştursun,Üçgen
sürü çizgi formasyonu oluştursun,Cizgi
v formasyonu yap,V
ters v formasyonu oluşturulsun,Ok başı
sürü üçgen şekli çizsin,Üçgen
dronelar çizgi formasyonu yaparsa oldukça müteşekkir olurum,Cizgi
droneların v oluşturmasını emrediyorum ,V
ok başı formasyonu yapmaya ne dersin ,Ok başı
dronelar üçgen olsun,Üçgen
dronelar voleybol oynasın,voleybol
voleybol oyna,voleybol
sürü voleybol oynasın,voleybol
sürüye voleybol oynat,voleybol
hadi voleybol oynayalım,voleybol
İHA'ları kullanarak bir çizgi çiz.,Cizgi
v,V
ters v,Ok başı
Üç kenarlı geometrik şekil çiz,Üçgen
Sürüye çizgi çizdirmesini sağla.,Cizgi
V çiz,V
Sürüyü kullanarak ok başı çiz,Ok başı
Güzel bir ÜÇGEN çiz,Üçgen
Tüm dronları kullanarak düz bir hat çiz,Cizgi
elindeki tüm ihalar ile v şeklini oluştur,V
İHA'larla ters v ok başı çiz,Ok başı
üç köşeli bir şey çiz,Üçgen
Aga dümdüz bi şekil yap bana,Cizgi
tüm gücünü ve zekanı kullanarak bir v harfi çiz,V
Ok attığını düşün ve okun başındaki şekli yap,Ok başı
dronelara üçlü çektirmek maksadıyla şekillendir,Üçgen
voleybol şovu yap,voleybol
sürü gösterisine başla,voleybol
tüm İHA'lar ile voleybol sürü gösterisi yap,voleybol
voleybol oyuncularını taklit edecek şekilde voleybol oyna,voleybol
Bir çizgi çiz,Cizgi
V şekli yarat,V
Ok başı formasyonu çiz.,Ok başı
Üçgen şekli yap,Üçgen
Bir çizgi oluştur.,Cizgi
V harfini oluştur.,V
Ok başı oluştur.,Ok başı
Üçgen şekli çiz,Üçgen
Bir çizgi yarat.,Cizgi
V şekli tasarla.,V
Ok başına şekli yap.,Ok başı
Üçgen oluştur.,Üçgen
Bır hat olustur,Cizgi
V yap bakayım,V
Ok başı yapsana,Ok başı
Ucgen cız.,Üçgen
Voleybol şekline geç,voleybol
Voleyboy oyna,voleybol
Voleybol moduna geç,voleybol
Voleybol maçı yapın,voleybol
Voleybol oynayin.,voleybol
Cizgi ciz.,Cizgi
V formunu olustur.,V
Ok basi cizdir,Ok başı
ucgen sekli ciz,Üçgen
Dronelar ile cizgi seklinde formasyon ciz.,Cizgi
Dronelar ile V formasyonu yap,V
Ok basi formasyonunu uygula,Ok başı
duzgun ucgen ciz,Üçgen
Dronelar ile cizgi cek.,Cizgi
Dronelar ile V formasyonunu gerceklestir.,V
Ok basi formunda sekil ciz.,Ok başı
ucgen formasyonunu ciz,Üçgen
Cabuk cizgi formasyonunu ciz.,Cizgi
formasyon V olustur hemen,V
Okun basi formasyonunu ciz lan.,Ok başı
Ucgen formasyonunu calistir canim.,Üçgen
Voleybol oynattir,voleybol
Dronelar ile voelybol uygula,voleybol
Voleybol formasyonunu ciz,voleybol
Voleybol turnuvasi formunu uygula,voleybol
Voleybol sampiyonasi formasyonunu uygula.,voleybol
Çizgi oluştur,Cizgi
V oluştur ,V
Ok başı yap,Ok başı
Üçgen hattı oluştur,Üçgen
Çizgi hattında  dizil,Cizgi
V hattında dizil,V
Ok başı istiyorum,Ok başı
Üçgen yap artık,Üçgen
Dronları çizgi şeklinde dizilir mi,Cizgi
Dronelar V yapsın,V
Ok başı dizil,Ok başı
Üçgen şeklinde dizil,Üçgen
Droneları çizgi hattında göster,Cizgi
V yapmanı bekliyorum,V
Ok başı olsa keşkle,Ok başı
Üçgen doğrusuna ddönüş,Üçgen
voleybol oyna ,voleybol
voleybol oynamanı istiyorum,voleybol
voleybol oyununa dönüş ,voleybol
